0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13
11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13
11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13
11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13
11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13
11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13
11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13
11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13
22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,24
